entity,description,is_india
pta,Parent-Teacher Association or global trade term,0
laf,Liquidity Adjustment Facility - USed in Indian banking,1
mirum,Global digital marketing agency,0
paypal,US-based financial technology company,0
merck,Global pharmaceutical company,0
parag milk foods,Indian dairy company,1
wunderman thompson kolkata,Indian branch of global marketing agency,1
ces,Consumer Electronics Show - global technology trade show,0
reliance nippon life insurance,Indian life insurance company,1
suuti,Specified Undertaking of the Unit Trust of India,1
eli lilly & co.,US-based pharmaceutical company,0
adx,Abu Dhabi Securities Exchange,0
bkt,Balkrishna Industries - Indian tyre manufacturing company,1
"indias b9 beverages",Indian alcoholic beverages company,1
royal caribbean,US-based cruise line,0
gips,Global Investment Performance Standards - USed globally,0
icea,Indian Cellular and Electronics Association,1
inr,Indian Rupee,1
ccea,Cabinet Committee on Economic Affairs - Indian government body,1
codagenix,US-based biotechnology company,0
a migrant commission,Commission related to migrant workers- could be India or global,0
hindustan liquids pvt. ltd.,Indian company,1
bank of england,UK central bank,0
"santoor-indias",Refers to Santoor- an Indian soap brand,1
bank nifty,Indian banking sector stock index,1
amazon pharmacy,US-based e-pharmacy under Amazon,0
hp,Hewlett-Packard - US-based technology company,0
tata aia,Indian insurance company,1
ariel,Global laundry detergent brand by P&G,0
bpo,Business Process Outsourcing- common in India,1
whatsapp business,Global messaging app with business features,0
the federal reserve,US central banking system,0
linkedin influencers on economy and finance,Global LinkedIn users on finance topics,0
transunion cibil,Indian credit information company,1
esl,Electrosteel Steels Ltd. - Indian steel company,1
"global capability centers",Global term for offshore centers in India,1
tkm,Toyota Kirloskar Motor - Indian automobile company,1
antony morato,Italian fashion brand,0
mayawati,Indian politician- former Chief Minister of Uttar Pradesh,1
piramal enterprises,Indian conglomerate with interests in pharma and finance,1
ola cabs,Indian ride-hailing company,1
the nifty bank,Indian stock market index tracking banking sector,1
fy18,Fiscal Year 2018 - India-specific usage for fiscal reports,1
gcpl,Godrej Consumer Products Ltd. - Indian FMCG company,1
toyota group,Japanese multinational automotive manufacturer,0
canara robeco emerging equities,Indian mutual fund scheme,1
lut/loc,Letter of Undertaking or Credit - India-specific financial term,1
supreme court,Highest judicial authority in India or globally,1
visa,US-based multinational financial services corporation,0
kfc,US-based fast food restaurant chain,0
idea cellular,Indian telecom company- now part of Vodafone Idea,1
delhi’s,Refers to Delhi- the capital city of India,1
sil,Sandhar Industries Ltd. - Indian auto component company,1
deutsche,Refers to Deutsche Bank- german multinational bank,0
bihar technical support program,Government initiative for healthcare in Bihar - India,1
covid19,Global pandemic- context-specific,0
the bombay stock exchange,India's premier stock exchange,1
boat lifestyle,Indian consumer electronics brand,1
tesla motors,US-based electric vehicle manufacturer,0
reno 4,Smartphone model by Oppo - global company,0
mahindra amc,Indian asset management company,1
the dalian commodity exchange,Chinese commodity exchange,0
nissan’s,Japanese multinational automobile manufacturer,0
google india,Indian subsidiary of Google,1
motherson sumi,Indian auto component manufacturing company,1
"fiis",Foreign Institutional Investors - Indian financial market term,1
inditrade,Indian financial services company,1
diwali balipratipada,Indian festival celebrated during Diwali,1
removeincompetentik,Unknown term- no India-specific relevance,0
qsr,Quick Service Restaurants - global term,0
asean,Association of Southeast Asian Nations,0
hmsi,Honda Motorcycle & Scooter India - Indian subsidiary of Honda,1
tinplate company,Indian tinplate manufacturing company,1
ltc,Leave Travel Concession - India-specific benefit for employees,1
frontier car group,Global automotive marketplace,0
"fm nirmala sitharamans",Refers to India's Finance Minister Nirmala Sitharaman,1
pepsico,US-based multinational food and beverage company,0
religare broking,Indian financial services company,1
toyota,Japanese multinational automotive manufacturer,0
ultratech cement,Indian cement company,1
coco ichibanya,Japanese curry restaurant chain,0
tws,True Wireless Stereo - global technology term,0
nuvoco,Indian building materials company,1
curevac,German biotechnology company,0
jaiprakash associates,Indian construction and engineering company,1
"hero fincorps",Indian financial services company,1
"indias gsp",India’s Generalized System of Preferences- trade term,1
the volkswagen automotive cloud,Volkswagen's automotive cloud services,0
oxford university,UK-based prestigious university,0
lg electronics,South Korean multinational electronics company,0
credavenue,Indian financial technology platform,1
employees’ provident fund organisation,Indian government retirement savings organization,1
mcx mentha,Mentha oil futures traded on India's MCX,1
volvo group,Swedish multinational automotive company,0
bt500,British stock market term,0
jspl,Jindal Steel & Power Ltd. - Indian steel company,1
upl,Indian multinational agrochemical company,1
bev,Battery Electric Vehicle - global term,0
tata consultancy services,Indian multinational IT services company,1
"indiabulls groups",Indian financial services conglomerate,1
fdi,Foreign Direct Investment - USed in India and globally,1
bondevalue,Global bond trading platform,0
sfpl,Spandana Sphoorty Financial Ltd. - Indian microfinance company,1
zenify,Indian property rental management platform,1
the london school of hygiene and tropical medicine,UK-based public health university,0
tbz,Tribhovandas Bhimji Zaveri - Indian jewelry retailer,1
ias,Indian Administrative Service - civil services in India,1
the ministry of healthcare,Government healthcare ministry - global term,0
mig,Middle Income Group - general global term,0
pdd,Product Design and Development - general global term,0
perrier india,Indian subsidiary of French beverage brand Perrier,1
the state pollution control board,Indian environmental regulatory body,1
ubs securities india,Indian arm of Swiss financial services company UBS,1
pm,Prime Minister- could refer to India's or others',1
purchasing manager’s index,Global economic indicator- relevant in India too,1
montlezir,Unknown- no clear India-specific relevance,0
consumer online foundation,Indian non-profit organization,1
bharat dynamics,Indian defense manufacturer,1
nhm,National Health Mission - Indian government health program,1
non-f&o,Non-Futures & Options - India-specific financial term,1
snapdeal,Indian e-commerce company,1
brigade enterprises,Indian real estate company,1
ge,General Electric - US multinational,0
psu,Public Sector Undertaking - Indian government-owned companies,1
the appellate body,Legal term - global context,0
happiest mind technologies ltd,Indian IT services company,1
dap,Diammonium Phosphate - USed in India and globally,0
zee,Indian media and entertainment company,1
omega seiki,Indian electric vehicle manufacturing company,1
b30,Beyond top 30 cities - India-specific term in finance,1
ap,Andhra Pradesh - Indian state,1
lkp securities,Indian financial services company,1
nasscom,Indian IT industry association,1
alphabet inc,US-based parent company of Google,0
droom,Indian online automobile marketplace,1
denso,Japanese auto component manufacturer,0
apix,API Exchange - global financial infrastructure,0
uts,Universal Transaction System - India-specific railway term,1
strategic capital corp.,US-based investment firm,0
the us food and drug administration,US regulatory body for food and drugs,0
hindustan unilever,Indian subsidiary of Unilever,1
uc browser,Chinese mobile browser popular in India,1
main street,General global term for economy or commerce,0
adani green energy,Indian renewable energy company,1
quaker,US-based food company- part of PepsiCo,0
psu bank,Indian government-owned banks,1
pacl,Indian real estate and investment company,1
bse sensex,Stock market index in India,1
f&o.,Futures and Options - Indian financial market term,1
api,Application Programming Interface - global tech term,0
groupm,Global media investment management group,0
"moodys investors service",US-based credit rating agency,0
birlasoft,Indian IT services company,1
franklin templeton,US-based asset management company with Indian operations,1
khabhatta family trust,Unknown entity- likely India-specific,1
lucasfilm,US-based film production company,0
dmk lok sabha,Dravida Munnetra Kazhagam - Indian political party,1
deloitte,Global professional services firm,0
mphasis,Indian IT services company,1
equanimity,Indian venture capital fund,1
interglobe aviation,Indian airline company- operates IndiGo,1
